Time,KE,CoordNum,MaxZ,SolidFraction
2.14,113.673,0.93,0.921236,0.10855
2.15,115.45,1.15,0.914613,0.109336
2.16,112.696,1.12,0.907009,0.110252
2.17,104.592,1.01,0.898425,0.111306
2.18,99.9099,1.31,0.888859,0.112504
2.19,101.313,1.23,0.878312,0.113855
2.2,97.7072,1.3,0.866784,0.115369
2.21,94.8078,1.17,0.854276,0.117058
2.22,91.4016,1.25,0.840786,0.118936
2.23,86.3519,1.19,0.826315,0.121019
2.24,85.4565,1.29,0.810863,0.123325
2.25,84.8209,1.03,0.79443,0.125876
2.26,80.6672,0.96,0.777017,0.128697
2.27,78.2539,1.21,0.758622,0.131818
2.28,75.6259,1.18,0.739246,0.135273
2.29,76.9075,1.49,0.719476,0.13899
2.3,76.2413,1.11,0.701687,0.142514
2.31,71.2351,0.84,0.682971,0.146419
2.32,66.1221,0.96,0.663275,0.150767
2.33,64.7753,0.95,0.642597,0.155619
2.34,59.2339,1.17,0.621014,0.161027
2.35,57.8952,1.37,0.599163,0.166899
2.36,51.6148,1.28,0.576368,0.1735
2.37,44.8489,1.3,0.552591,0.180966
2.38,40.0725,1.15,0.527834,0.189454
2.39,38.2766,1.38,0.502095,0.199165
2.4,30.8187,1.42,0.475376,0.21036
2.41,26.2015,1.29,0.447675,0.223376
2.42,21.7829,1.33,0.418994,0.238667
2.43,20.5876,1.4,0.389331,0.256851
2.44,18.4984,1.37,0.360062,0.27773
2.45,16.3975,1.15,0.330774,0.302321
2.46,15.2994,1.15,0.300506,0.332772
2.47,14.0627,1.24,0.297667,0.335946
2.48,11.0539,1.23,0.307775,0.324913
2.49,10.6154,1.28,0.314912,0.317549
2.5,8.0183,1.23,0.320996,0.311531
2.51,6.70814,1.4,0.326098,0.306656
2.52,7.08996,1.22,0.33022,0.302828
2.53,6.5562,1.28,0.333361,0.299975
2.54,5.58542,1.52,0.335521,0.298044
2.55,5.22192,1.65,0.336699,0.297001
2.56,5.36436,1.56,0.336897,0.296826
2.57,5.11633,1.57,0.336114,0.297518
2.58,4.5199,1.6,0.33435,0.299088
2.59,4.68026,1.87,0.331604,0.301564
2.6,4.13376,1.94,0.327878,0.304991
2.61,4.1949,1.68,0.323171,0.309434
2.62,4.29113,1.78,0.317483,0.314978
2.63,4.40168,1.93,0.310813,0.321736
2.64,4.37006,2.04,0.303163,0.329855
2.65,4.01027,2.09,0.294532,0.339522
2.66,4.11984,2.11,0.28492,0.350976
2.67,3.96409,2.16,0.274327,0.364529
2.68,3.85059,2.06,0.262752,0.380587
2.69,3.48592,2.04,0.250197,0.399685
2.7,3.4952,2.05,0.23712,0.421727
2.71,3.43856,2.29,0.224814,0.444811
2.72,3.31126,2.19,0.213761,0.467812
2.73,3.10285,2.24,0.209879,0.476465
2.74,3.0389,2.38,0.205639,0.48629
2.75,2.93828,2.22,0.20561,0.486357
2.76,3.01847,2.27,0.210006,0.476178
2.77,2.67001,2.2,0.213575,0.46822
2.78,2.57693,1.99,0.216163,0.462613
2.79,2.42183,2.27,0.21847,0.457728
2.8,2.26825,2.25,0.21993,0.454691
2.81,2.30512,2.52,0.220408,0.453704
2.82,2.50052,2.16,0.219905,0.454741
2.83,2.53534,2.49,0.218422,0.45783
2.84,2.66659,2.58,0.215957,0.463055
2.85,2.20023,2.48,0.214767,0.465621
2.86,2.05074,2.52,0.214129,0.467008
2.87,1.70994,2.49,0.21251,0.470566
2.88,1.81394,2.46,0.209921,0.47637
2.89,1.8155,2.47,0.208069,0.480611
2.9,1.71024,2.42,0.20525,0.487212
2.91,1.63513,2.31,0.201483,0.496321
2.92,1.43672,2.64,0.199958,0.500105
2.93,1.64274,2.82,0.199827,0.500433
2.94,1.6158,2.64,0.202177,0.494616
2.95,1.39498,2.55,0.204096,0.489966
2.96,1.26326,2.9,0.205033,0.487726
2.97,1.28452,2.82,0.20499,0.487829
2.98,1.38747,2.69,0.203965,0.490279
2.99,1.28491,2.81,0.202666,0.493423
3,1.35232,2.62,0.20249,0.493852
