Time,KE,CoordNum,MaxZ,SolidFraction
2.03,116.814,0.95,1.05826,0.0944949
2.04,116.156,0.85,1.06469,0.0939237
2.05,117.638,0.85,1.07015,0.093445
2.06,119.521,0.88,1.07462,0.093056
2.07,119.67,1.03,1.07811,0.0927545
2.08,118.183,0.99,1.08063,0.0925389
2.09,112.095,1.21,1.08216,0.092408
2.1,106.564,1.14,1.08271,0.0923611
2.11,106.572,1.13,1.08228,0.0923979
2.12,106.371,0.99,1.08086,0.0925186
2.13,105.261,1.17,1.07847,0.0927239
2.14,95.555,1.22,1.0751,0.093015
2.15,87.213,1.07,1.07074,0.0933933
2.16,90.155,1.06,1.0654,0.0938611
2.17,91.0744,1.14,1.05909,0.094421
2.18,92.289,0.97,1.05179,0.0950761
2.19,94.9784,1.12,1.04351,0.0958305
2.2,93.6288,1.1,1.03425,0.0966885
2.21,92.8749,0.99,1.02401,0.0976555
2.22,91.516,1.08,1.01279,0.0987376
2.23,91.9813,1.13,1.00058,0.0999418
2.24,90.6503,1.19,0.987398,0.101276
2.25,93.2813,1.32,0.973232,0.10275
2.26,92.0343,1.48,0.958086,0.104375
2.27,86.0038,1.35,0.941959,0.106162
2.28,80.112,1.22,0.924851,0.108126
2.29,80.0107,1.39,0.906761,0.110283
2.3,81.0355,1.15,0.887691,0.112652
2.31,83.6323,1.16,0.86764,0.115255
2.32,82.3539,1.03,0.846607,0.118119
2.33,79.5196,1.1,0.824594,0.121272
2.34,69.7302,1.34,0.8016,0.124751
2.35,63.8606,1.6,0.777624,0.128597
2.36,60.3681,1.47,0.752668,0.132861
2.37,57.0962,1.59,0.726731,0.137603
2.38,45.4211,1.44,0.701186,0.142616
2.39,41.6336,1.69,0.67678,0.147758
2.4,29.8533,1.51,0.652633,0.153225
2.41,23.4445,1.47,0.627505,0.159361
2.42,19.5173,1.42,0.601396,0.16628
2.43,16.5347,1.54,0.574306,0.174123
2.44,16.0368,1.41,0.546235,0.183071
2.45,15.0522,1.53,0.517183,0.193355
2.46,13.6183,1.31,0.48715,0.205276
2.47,13.5108,1.52,0.456136,0.219233
2.48,13.5333,1.68,0.424141,0.235771
2.49,13.9458,1.54,0.391164,0.255647
2.5,14.1789,1.52,0.357207,0.279949
2.51,13.9965,1.62,0.322269,0.3103
2.52,14.6867,1.7,0.28635,0.349223
2.53,14.5113,1.89,0.253657,0.394233
2.54,14.7377,1.79,0.248565,0.402309
2.55,8.96529,1.92,0.245056,0.40807
2.56,10.1939,1.77,0.241892,0.413408
2.57,9.13484,1.76,0.239193,0.418072
2.58,7.98521,1.76,0.235705,0.42426
2.59,7.14187,1.95,0.231964,0.431101
2.6,6.65355,2.14,0.238664,0.418999
2.61,6.86679,1.85,0.244655,0.408739
2.62,5.46295,1.8,0.249664,0.400538
2.63,4.82891,1.63,0.253692,0.394178
2.64,4.13187,1.66,0.25674,0.389499
2.65,3.63078,1.93,0.258806,0.38639
2.66,3.92782,1.9,0.259892,0.384776
2.67,3.69388,2.1,0.259996,0.384621
2.68,3.9259,2.09,0.259119,0.385923
2.69,3.9455,2.07,0.257262,0.388709
2.7,3.7538,2.29,0.254423,0.393046
2.71,4.00225,2.25,0.250603,0.399037
2.72,3.85628,2.25,0.245803,0.40683
2.73,3.21737,2.21,0.240021,0.41663
2.74,3.36018,2.32,0.233259,0.428709
2.75,3.54895,2.32,0.225515,0.44343
2.76,3.50825,2.42,0.21679,0.461275
2.77,3.11683,2.37,0.211423,0.472985
2.78,2.64696,2.33,0.210634,0.474758
2.79,2.92377,2.36,0.208863,0.478782
2.8,2.52214,2.41,0.206147,0.485091
2.81,2.36033,1.96,0.203198,0.492131
2.82,2.3357,2.25,0.200985,0.49755
2.83,2.4953,2.44,0.200007,0.499981
2.84,2.42767,2.37,0.199744,0.50064
2.85,2.40785,2.21,0.199805,0.500488
2.86,2.43894,2.12,0.199821,0.500449
2.87,2.12805,2.24,0.199916,0.500211
2.88,1.7725,2.31,0.200035,0.499912
2.89,2.06336,2.28,0.199716,0.500711
2.9,1.9582,2.42,0.199662,0.500846
2.91,1.83536,2.25,0.200014,0.499965
2.92,2.01555,2.56,0.199571,0.501076
2.93,1.9854,2.48,0.19917,0.502084
2.94,1.85891,2.46,0.199445,0.501393
2.95,1.88852,2.39,0.199676,0.500812
2.96,1.63782,2.8,0.199709,0.500727
2.97,1.50946,2.78,0.199228,0.501936
2.98,1.47453,2.66,0.19913,0.502185
2.99,1.69579,2.59,0.199283,0.5018
3,1.84535,2.55,0.199282,0.501802
3.01,2.00244,2.61,0.199373,0.501573
3.02,1.93587,2.57,0.199421,0.501452
3.03,1.67865,2.83,0.199913,0.500216
3.04,1.54267,2.76,0.199577,0.501059
3.05,1.57752,2.57,0.199428,0.501433
3.06,1.5117,2.64,0.199531,0.501176
3.07,1.21259,2.59,0.199523,0.501195
3.08,1.09564,2.7,0.199483,0.501296
3.09,1.27756,2.59,0.199616,0.500963
3.1,1.41369,2.77,0.199232,0.501927
3.11,1.3729,2.82,0.199044,0.502401
3.12,1.16002,2.73,0.199395,0.501517
3.13,1.13389,2.75,0.1996,0.501001
3.14,1.05634,2.58,0.19961,0.500978
3.15,1.05688,2.56,0.199365,0.501593
3.16,1.00039,2.64,0.198863,0.502859
3.17,0.941297,2.79,0.199239,0.501911
3.18,0.962273,2.68,0.199622,0.500946
3.19,0.972043,2.77,0.199626,0.500936
3.2,0.961317,2.84,0.199167,0.50209
3.21,0.846709,2.68,0.199251,0.501879
3.22,0.842848,2.62,0.199606,0.500988
3.23,0.784149,2.79,0.199825,0.500438
3.24,0.901346,2.7,0.199488,0.501284
3.25,0.829899,2.91,0.199287,0.50179
3.26,0.840117,2.9,0.199321,0.501702
3.27,0.725144,2.91,0.199554,0.501117
3.28,0.750892,2.82,0.19978,0.50055
3.29,0.852432,2.62,0.199404,0.501496
3.3,0.820757,2.83,0.199522,0.501199
3.31,0.897243,2.76,0.199092,0.502279
3.32,0.779336,2.48,0.198974,0.502579
3.33,0.81974,2.82,0.199252,0.501876
3.34,0.633623,2.95,0.199598,0.501007
3.35,0.708044,2.9,0.199271,0.50183
3.36,0.628076,2.62,0.199388,0.501535
3.37,0.666138,2.9,0.199337,0.501663
3.38,0.646588,2.85,0.199724,0.500691
3.39,0.581751,2.7,0.199311,0.501729
3.4,0.661167,2.74,0.199238,0.501911
3.41,0.710982,3.05,0.199168,0.502089
3.42,0.538023,2.98,0.199672,0.500821
3.43,0.478717,3.03,0.200026,0.499936
